structure,vacancy_label,first_shell_rank,reference_ga_atom_number,defect_ga_atom_number,reference_ga_python_index,defect_ga_python_index,ga_initial_distance_to_vacancy_A,pristine_coordination_number,vacancy_coordination_number,coordination_change,coordination_type,mean_absolute_bond_change_A,maximum_absolute_bond_change_A,mean_absolute_angle_change_deg,maximum_absolute_angle_change_deg,pdos_python_index
vacancy_O1,O1,,29,29,28,28,1.8437517434761168,4,3,4 -> 3,tetrahedral,0.060362088391827884,0.0846924682775998,3.5508693364239243,7.088604523467552,28
vacancy_O1,O1,,25,25,24,24,1.8437566060950679,4,3,4 -> 3,tetrahedral,0.05996805412763558,0.08389896368789196,3.5644686045417124,7.126614020169683,24
vacancy_O1,O1,,2,2,1,1,1.9415218622702992,6,5,6 -> 5,octahedral,0.034743239920982424,0.046426759510008075,2.233655460339719,4.283121963161278,1
vacancy_O2,O2,,17,17,16,16,1.8717518449034618,4,3,4 -> 3,tetrahedral,0.09713836318849974,0.10170548835516491,6.383897362446722,11.189051155491867,16
vacancy_O2,O2,,9,9,8,8,2.0133962410501933,6,5,6 -> 5,octahedral,0.008174802455157736,0.011486507931005363,0.35429817887492376,0.803730714866024,8
vacancy_O2,O2,,1,1,0,0,2.078660470256452,6,5,6 -> 5,octahedral,0.021876725702538336,0.028206816537638346,1.1164257425016917,2.565686220476465,0
vacancy_O2,O2,,5,5,4,4,2.078660500144124,6,5,6 -> 5,octahedral,0.021567919914675614,0.028574533377973887,1.2886313365944109,2.516177160362844,4
vacancy_O3,O3,,27,27,26,26,1.8384459909567614,4,3,4 -> 3,tetrahedral,0.10171657625965753,0.1409058806687069,11.127849521288965,11.260652199670645,26
vacancy_O3,O3,,13,13,12,12,1.948482812392485,6,5,6 -> 5,octahedral,0.011730717925813261,0.016118201901118123,0.33239999367160067,0.7466825040880565,12
vacancy_O3,O3,,9,9,8,8,1.9484852602673919,6,5,6 -> 5,octahedral,0.010728309754130949,0.014916758316079415,0.4999779891085264,1.0963906835601307,8
