structure,label,energy_minus_fermi_eV,dos_states_per_eV_per_atom,fermi_energy_eV,dos_band_gap_eV,number_of_atoms
pristine,Pristine,-20.86395477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.846954770000004,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.82995477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.812954769999997,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.79595477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.77895477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.761954770000003,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.74495477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.727954770000004,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.71095477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.693954769999998,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.676954770000002,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.65995477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.642954770000003,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.62595477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.60885477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.591854769999998,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.57485477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.55785477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.540854770000003,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.52385477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.506854770000004,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.48985477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.472854769999998,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.455854770000002,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.43885477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.421854770000003,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.40485477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.387854769999997,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.37085477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.353854769999998,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.336854770000002,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.31985477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.302854770000003,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.28585477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.268854769999997,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.25185477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.23485477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.217854770000002,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.20075477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.18375477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.16675477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.14975477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.13275477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.115754770000002,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.09875477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.08175477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.06475477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.04775477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.03075477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-20.01375477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.996754770000003,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.97975477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.96275477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.94575477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.92875477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.91175477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.89475477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.877754770000003,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.86075477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.84375477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.82675477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.809754769999998,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.792754770000002,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.775654770000003,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.75865477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.74165477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.72465477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.70765477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.690654770000002,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.67365477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.656654770000003,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.63965477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.62265477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.60565477,0.0,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.588654769999998,1.25e-06,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.571654770000002,3.7499999999999997e-06,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.55465477,1e-05,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.53765477,2.375e-05,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.52065477,5.2499999999999995e-05,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.50365477,0.00011375,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.48665477,0.00023375000000000002,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.469654769999998,0.00045875000000000006,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.452654770000002,0.0008625000000000001,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.43565477,0.00154875,4.24385477,1.7882462890753485,80
pristine,Pristine,-19.41865477,0.00266125,4.24385477,1.7882462890753485,80
