structure,first_shell_rank,ga_distance_to_vacancy_A,reference_oxygen_1_atom_number,reference_ga_atom_number,reference_oxygen_2_atom_number,defect_oxygen_1_atom_number,defect_ga_atom_number,defect_oxygen_2_atom_number,pristine_angle_deg,vacancy_angle_deg,angle_change_deg,absolute_angle_change_deg
vacancy_O1,1,1.8437517434761168,37,29,61,36,29,60,105.89754625009778,98.80894172663022,-7.088604523467552,7.088604523467552
vacancy_O1,1,1.8437517434761168,37,29,71,36,29,70,91.62968099983617,90.74111982029154,-0.8885611795446238,0.8885611795446238
vacancy_O1,1,1.8437517434761168,61,29,71,60,29,70,26.155126895795608,28.830569202055205,2.6754423062595976,2.6754423062595976
vacancy_O1,2,1.8437566060950679,37,25,57,36,25,56,105.95417183604388,98.8275578158742,-7.126614020169683,7.126614020169683
vacancy_O1,2,1.8437566060950679,37,25,67,36,25,66,91.62746302297327,90.74186515501124,-0.8855978679620335,0.8855978679620335
vacancy_O1,2,1.8437566060950679,57,25,67,56,25,66,26.154964324359078,28.8361582498525,2.681193925493421,2.681193925493421
vacancy_O1,3,1.9415218622702992,50,2,54,49,2,53,94.43532203630997,94.29812051865316,-0.13720151765680555,0.13720151765680555
vacancy_O1,3,1.9415218622702992,50,2,58,49,2,57,80.90319227010401,83.52996807201225,2.626775801908238,2.626775801908238
vacancy_O1,3,1.9415218622702992,50,2,74,49,2,73,81.03367612881752,81.55749984773595,0.523823718918436,0.523823718918436
vacancy_O1,3,1.9415218622702992,50,2,78,49,2,77,171.4486259005293,175.73174786369057,4.283121963161278,4.283121963161278
vacancy_O1,3,1.9415218622702992,54,2,58,53,2,57,80.944500125885,83.51861634092816,2.574116215043162,2.574116215043162
vacancy_O1,3,1.9415218622702992,54,2,74,53,2,73,171.46797334649764,175.71601073058602,4.248037384088377,4.248037384088377
vacancy_O1,3,1.9415218622702992,54,2,78,53,2,77,80.99968106678968,81.58848896352262,0.5888078967329449,0.5888078967329449
vacancy_O1,3,1.9415218622702992,58,2,74,57,2,73,91.16227124729325,94.88740029870743,3.7251290514141857,3.7251290514141857
vacancy_O1,3,1.9415218622702992,58,2,78,57,2,77,91.19837081542636,94.82546432564013,3.6270935102137685,3.6270935102137685
vacancy_O1,3,1.9415218622702992,74,2,78,73,2,77,102.5348433193263,102.5323957750663,-0.002447544259993606,0.002447544259993606
vacancy_O2,1,1.8717518449034618,41,17,45,41,17,45,21.557833601989934,25.270884406383352,3.7130508043934185,3.7130508043934185
vacancy_O2,1,1.8717518449034618,41,17,75,41,17,74,107.4515405605918,96.26248940509993,-11.189051155491867,11.189051155491867
vacancy_O2,1,1.8717518449034618,45,17,75,45,17,74,96.78951605193177,92.53992592447689,-4.24959012745488,4.24959012745488
vacancy_O2,2,2.0133962410501933,42,9,57,42,9,56,91.7771374779983,92.17267613038173,0.39553865238343633,0.39553865238343633
vacancy_O2,2,2.0133962410501933,42,9,61,42,9,60,90.77673967046087,90.9324341925441,0.15569452208322332,0.15569452208322332
vacancy_O2,2,2.0133962410501933,42,9,65,42,9,64,95.58409109241745,95.78969883867283,0.20560774625538158,0.20560774625538158
vacancy_O2,2,2.0133962410501933,42,9,69,42,9,68,92.30803475459437,92.38060198965997,0.07256723506559126,0.07256723506559126
vacancy_O2,2,2.0133962410501933,57,9,61,56,9,60,25.65515017552302,26.458880890389043,0.803730714866024,0.803730714866024
vacancy_O2,2,2.0133962410501933,57,9,65,56,9,64,81.03360353438802,81.22196220669761,0.18835867230959025,0.18835867230959025
vacancy_O2,2,2.0133962410501933,57,9,69,56,9,68,57.53014474852509,58.129263413565994,0.5991186650409048,0.5991186650409048
vacancy_O2,2,2.0133962410501933,61,9,65,60,9,64,55.61820769326703,55.048339554696476,-0.5698681385705555,0.5698681385705555
vacancy_O2,2,2.0133962410501933,61,9,69,60,9,68,31.94934601676418,31.75761290836524,-0.19173310839894242,0.19173310839894242
vacancy_O2,2,2.0133962410501933,65,9,69,64,9,68,23.761086950652285,23.400322616876696,-0.36076433377558814,0.36076433377558814
vacancy_O2,3,2.078660470256452,34,1,53,34,1,52,107.89392914822184,107.63594163643646,-0.25798751178538737,0.25798751178538737
vacancy_O2,3,2.078660470256452,34,1,57,34,1,56,27.389643169749878,27.344681329219284,-0.04496184053059338,0.04496184053059338
vacancy_O2,3,2.078660470256452,34,1,73,34,1,72,64.58633487978834,65.03136805163982,0.4450331718514775,0.4450331718514775
vacancy_O2,3,2.078660470256452,34,1,77,34,1,76,90.61531996570575,89.70204274549661,-0.9132772202091388,0.9132772202091388
vacancy_O2,3,2.078660470256452,53,1,57,52,1,56,80.94445019981244,81.09624584533023,0.1517956455177938,0.1517956455177938
vacancy_O2,3,2.078660470256452,53,1,73,52,1,72,171.46807372411027,168.9023875036338,-2.565686220476465,2.565686220476465
vacancy_O2,3,2.078660470256452,53,1,77,52,1,76,80.99949497531641,83.22779358859692,2.228298613280515,2.228298613280515
vacancy_O2,3,2.078660470256452,57,1,73,56,1,72,91.1622432559797,90.41150813923859,-0.7507351167411116,0.7507351167411116
vacancy_O2,3,2.078660470256452,57,1,77,56,1,76,91.19842284009327,93.06050316853064,1.8620803284373721,1.8620803284373721
vacancy_O2,3,2.078660470256452,73,1,77,72,1,76,102.53458608278281,104.47898783896987,1.9444017561870623,1.9444017561870623
vacancy_O2,4,2.078660500144124,38,5,53,38,5,52,83.88228599099332,84.16679301831145,0.2845070273181278,0.2845070273181278
vacancy_O2,4,2.078660500144124,38,5,61,38,5,60,27.38954471921583,29.644737664312768,2.255192945096937,2.255192945096937
vacancy_O2,4,2.078660500144124,38,5,73,38,5,72,68.97580692846478,69.58838902287442,0.6125820944096461,0.6125820944096461
vacancy_O2,4,2.078660500144124,38,5,77,38,5,76,64.58634693908438,63.987483414498726,-0.5988635245856528,0.5988635245856528
vacancy_O2,4,2.078660500144124,53,5,61,52,5,60,80.90268145329729,81.07514040627514,0.1724589529778484,0.1724589529778484
vacancy_O2,4,2.078660500144124,53,5,73,52,5,72,57.53041859548933,57.84438108711155,0.31396249162222034,0.31396249162222034
vacancy_O2,4,2.078660500144124,53,5,77,52,5,76,81.0337419494089,83.2324332997659,2.198691350356995,2.198691350356995
vacancy_O2,4,2.078660500144124,61,5,73,60,5,72,90.46467934271996,92.9808565030828,2.516177160362844,2.516177160362844
vacancy_O2,4,2.078660500144124,61,5,77,60,5,76,91.16209055354098,93.02708184612912,1.8649912925881438,1.8649912925881438
vacancy_O2,4,2.078660500144124,73,5,77,72,5,76,23.760981126999024,25.829867653624717,2.0688865266256933,2.0688865266256933
vacancy_O3,1,1.8384459909567614,35,27,39,35,27,39,111.1474090154964,99.88675681582575,-11.260652199670645,11.260652199670645
vacancy_O3,1,1.8384459909567614,35,27,59,35,27,59,105.89888286235139,94.87447997803712,-11.02440288431427,11.02440288431427
vacancy_O3,1,1.8384459909567614,39,27,59,39,27,59,105.95569303688643,94.85719955700445,-11.09849347988198,11.09849347988198
vacancy_O3,2,1.948482812392485,46,13,53,46,13,53,169.1762901827865,169.16679553907616,-0.009494643710326045,0.009494643710326045
