structure,first_shell_rank,defect_ga_atom_number,reference_ga_atom_number,distance_to_vacancy_A,number_of_first_shell_ga,outermost_first_shell_distance_A,nearest_second_shell_distance_A,shell_boundary_gap_A,gap_threshold_A
vacancy_O1,1,29,29,1.8437517434761168,3,1.9415218622702992,3.4161358078546713,1.474613945584372,0.3
vacancy_O1,2,25,25,1.8437566060950679,3,1.9415218622702992,3.4161358078546713,1.474613945584372,0.3
vacancy_O1,3,2,2,1.9415218622702992,3,1.9415218622702992,3.4161358078546713,1.474613945584372,0.3
vacancy_O2,1,17,17,1.8717518449034618,4,2.078660500144124,3.4095529043138897,1.3308924041697656,0.3
vacancy_O2,2,9,9,2.0133962410501933,4,2.078660500144124,3.4095529043138897,1.3308924041697656,0.3
vacancy_O2,3,1,1,2.078660470256452,4,2.078660500144124,3.4095529043138897,1.3308924041697656,0.3
vacancy_O2,4,5,5,2.078660500144124,4,2.078660500144124,3.4095529043138897,1.3308924041697656,0.3
vacancy_O3,1,27,27,1.8384459909567614,3,1.9484852602673919,3.299687381484544,1.351202121217152,0.3
vacancy_O3,2,13,13,1.948482812392485,3,1.9484852602673919,3.299687381484544,1.351202121217152,0.3
vacancy_O3,3,9,9,1.9484852602673919,3,1.9484852602673919,3.299687381484544,1.351202121217152,0.3
