structure,reference_ga_atom_number,defect_ga_atom_number,coordination_change,pristine_coordination_number,vacancy_coordination_number,number_of_preserved_bonds,number_of_lost_bonds,lost_oxygen_atom_numbers,number_of_formed_bonds,formed_oxygen_atom_numbers,mean_preserved_bond_change_A,maximum_bond_elongation_A,maximum_bond_contraction_A,largest_absolute_bond_change_A,ga_initial_distance_to_vacancy_A
vacancy_O1,29,29,4 -> 3,4,3,3,1,O33,0,,0.060362088391827884,0.0846924682775998,0.042761312048724465,0.0846924682775998,1.8437517434761168
vacancy_O1,25,25,4 -> 3,4,3,3,1,O33,0,,0.05996805412763558,0.08389896368789196,0.04248187548199911,0.08389896368789196,1.8437566060950679
vacancy_O1,2,2,6 -> 5,6,5,5,1,O33,0,,-0.034743239920982424,-0.03070354419996013,-0.046426759510008075,-0.046426759510008075,1.9415218622702992
vacancy_O2,17,17,4 -> 3,4,3,3,1,O49,0,,0.09713836318849974,0.10170548835516491,0.09484326051406056,0.10170548835516491,1.8717518449034618
vacancy_O2,9,9,6 -> 5,6,5,5,1,O49,0,,-0.008174802455157736,-0.0003139786859474025,-0.011486507931005363,-0.011486507931005363,2.0133962410501933
vacancy_O2,1,1,6 -> 5,6,5,5,1,O49,0,,-0.021876725702538336,-0.01890873873498533,-0.028206816537638346,-0.028206816537638346,2.078660470256452
vacancy_O2,5,5,6 -> 5,6,5,5,1,O49,0,,-0.021567919914675614,-0.017392669888766754,-0.028574533377973887,-0.028574533377973887,2.078660500144124
vacancy_O3,27,27,4 -> 3,4,3,3,1,O65,0,,0.10171657625965753,0.1409058806687069,0.08189463772956906,0.1409058806687069,1.8384459909567614
vacancy_O3,13,13,6 -> 5,6,5,5,1,O65,0,,-0.008728821400520425,0.007504741313232088,-0.016118201901118123,-0.016118201901118123,1.948482812392485
vacancy_O3,9,9,6 -> 5,6,5,5,1,O65,0,,-0.008729891655788479,0.004996045245856173,-0.014916758316079415,-0.014916758316079415,1.9484852602673919
