structure,reference_ga_atom_number,defect_ga_atom_number,coordination_change,ga_initial_distance_to_vacancy_A,number_of_preserved_bonds,mean_bond_change_A,mean_absolute_bond_change_A,rms_bond_change_A,maximum_absolute_bond_change_A,number_of_comparable_angles,mean_angle_change_deg,mean_absolute_angle_change_deg,rms_angle_change_deg,maximum_absolute_angle_change_deg
vacancy_O1,2,2,6 -> 5,1.9415218622702992,5,-0.034743239920982424,0.034743239920982424,0.035240646911811425,0.046426759510008075,10,2.205725647956359,2.233655460339719,2.785485430336468,4.283121963161278
vacancy_O1,25,25,4 -> 3,1.8437566060950679,3,0.05996805412763558,0.05996805412763558,0.06247263929149366,0.08389896368789196,3,-1.7770059875460984,3.5644686045417124,4.425747087303296,7.126614020169683
vacancy_O1,29,29,4 -> 3,1.8437517434761168,3,0.060362088391827884,0.060362088391827884,0.06292267058905437,0.0846924682775998,3,-1.7672411322508594,3.5508693364239243,4.404385942597146,7.088604523467552
vacancy_O2,1,1,6 -> 5,2.078660470256452,5,-0.021876725702538336,0.021876725702538336,0.02211705318809349,0.028206816537638346,10,0.20989616055315247,1.1164257425016917,1.4312042444304072,2.565686220476465
vacancy_O2,5,5,6 -> 5,2.078660500144124,5,-0.021567919914675614,0.021567919914675614,0.021889355098463882,0.028574533377973887,10,1.1688586316772802,1.2886313365944109,1.5796494385222282,2.516177160362844
vacancy_O2,9,9,6 -> 5,2.0133962410501933,5,-0.008174802455157736,0.008174802455157736,0.009113017093663064,0.011486507931005363,10,0.12982506272590655,0.35429817887492376,0.41955924130612615,0.803730714866024
vacancy_O2,17,17,4 -> 3,1.8717518449034618,3,0.09713836318849974,0.09713836318849974,0.09719203160685212,0.10170548835516491,3,-3.908530159517776,6.383897362446722,7.235114103859098,11.189051155491867
vacancy_O3,9,9,6 -> 5,1.9484852602673919,5,-0.008729891655788479,0.010728309754130949,0.011400410628845363,0.014916758316079415,10,-0.4928033395976197,0.4999779891085264,0.6236732545281026,1.0963906835601307
vacancy_O3,13,13,6 -> 5,1.948482812392485,5,-0.008728821400520425,0.011730717925813261,0.01220465990962965,0.016118201901118123,10,0.16475348041074653,0.33239999367160067,0.39905919686651375,0.7466825040880565
vacancy_O3,27,27,4 -> 3,1.8384459909567614,3,0.10171657625965753,0.10171657625965753,0.10542389252632356,0.1409058806687069,3,-11.127849521288965,11.127849521288965,11.128286846899167,11.260652199670645
