structure,first_shell_rank,ga_distance_to_vacancy_A,reference_oxygen_1_atom_number,reference_ga_atom_number,reference_oxygen_2_atom_number,defect_oxygen_1_atom_number,defect_ga_atom_number,defect_oxygen_2_atom_number,pristine_angle_deg,vacancy_angle_deg,angle_change_deg,absolute_angle_change_deg
vacancy_O3,1,1.8384459909567614,35,27,39,35,27,39,111.1474090154964,99.88675681582575,-11.260652199670645,11.260652199670645
vacancy_O3,1,1.8384459909567614,35,27,59,35,27,59,105.89888286235139,94.87447997803712,-11.02440288431427,11.02440288431427
vacancy_O3,1,1.8384459909567614,39,27,59,39,27,59,105.95569303688643,94.85719955700445,-11.09849347988198,11.09849347988198
vacancy_O3,2,1.948482812392485,46,13,53,46,13,53,169.1762901827865,169.16679553907616,-0.009494643710326045,0.009494643710326045
vacancy_O3,2,1.948482812392485,46,13,57,46,13,57,91.76243067391181,91.19323911949431,-0.5691915544175004,0.5691915544175004
vacancy_O3,2,1.948482812392485,46,13,61,46,13,61,91.7767098672807,92.12467360687688,0.34796373959618165,0.34796373959618165
vacancy_O3,2,1.948482812392485,46,13,69,46,13,68,95.58398200105327,96.33066450514133,0.7466825040880565,0.7466825040880565
vacancy_O3,2,1.948482812392485,53,13,57,53,13,57,80.944704788648,80.68515842047155,-0.2595463681764443,0.2595463681764443
vacancy_O3,2,1.948482812392485,53,13,61,53,13,61,80.90303446553939,81.49122478832992,0.5881903227905241,0.5881903227905241
vacancy_O3,2,1.948482812392485,53,13,69,53,13,68,91.1625442533779,91.36372244389257,0.20117819051466768,0.20117819051466768
vacancy_O3,2,1.948482812392485,57,13,61,57,13,61,94.43539670921328,94.70761735146533,0.27222064225205145,0.27222064225205145
vacancy_O3,2,1.948482812392485,57,13,69,57,13,68,171.46847423591407,171.57161575113008,0.10314151521600934,0.10314151521600934
vacancy_O3,2,1.948482812392485,61,13,69,61,13,68,81.03381470050874,81.26020515646299,0.22639045595424534,0.22639045595424534
vacancy_O3,3,1.9484852602673919,42,9,49,42,9,49,169.17667130558021,169.1863973852907,0.009726079710475233,0.009726079710475233
vacancy_O3,3,1.9484852602673919,42,9,57,42,9,57,91.7771374779983,91.18986451460309,-0.5872729633952076,0.5872729633952076
vacancy_O3,3,1.9484852602673919,42,9,61,42,9,61,90.77673967046087,90.45107611830551,-0.3256635521553619,0.3256635521553619
vacancy_O3,3,1.9484852602673919,42,9,69,42,9,68,92.30803475459437,92.11424852745562,-0.1937862271387587,0.1937862271387587
vacancy_O3,3,1.9484852602673919,49,9,57,49,9,57,80.90301574134337,80.67586645432458,-0.2271492870187899,0.2271492870187899
vacancy_O3,3,1.9484852602673919,49,9,61,49,9,61,86.05131282854232,85.14261677429208,-0.9086960542502425,0.9086960542502425
vacancy_O3,3,1.9484852602673919,49,9,69,49,9,68,90.46481957449448,89.36842889093435,-1.0963906835601307,1.0963906835601307
vacancy_O3,3,1.9484852602673919,57,9,61,57,9,61,25.65515017552302,24.822928072045844,-0.8322221034771751,0.8322221034771751
vacancy_O3,3,1.9484852602673919,57,9,69,57,9,68,57.53014474852509,56.737418975990025,-0.7927257725350643,0.7927257725350643
vacancy_O3,3,1.9484852602673919,61,9,69,61,9,68,31.94934601676418,31.97549318460824,0.026147167844058572,0.026147167844058572
