structure,defect_atom_number,reference_atom_number,element,initial_distance_to_vacancy_A,relaxed_distance_to_vacancy_A,distance_change_A,total_displacement_A,radial_projection_A,motion_relative_to_vacancy,dx_A,dy_A,dz_A
vacancy_O1,29,29,Ga,1.8437517434761168,1.6170186050112823,-0.22673313846483456,0.22735688255237016,-0.2268099481456449,toward,0.21687240029037314,0.03409165844077974,0.059120832715563225
vacancy_O1,25,25,Ga,1.8437566060950679,1.61732674602513,-0.22642986006993793,0.2270813442491039,-0.2265099832743009,toward,-0.16411493475580025,0.034094136084255516,0.15319861285516825
vacancy_O1,2,2,Ga,1.9415218622702992,2.0006064370610446,0.05908457479074536,0.05926084050303457,0.059079202654761916,away,0.013886343027014015,0.014553007681942816,0.05574250318985966
vacancy_O1,41,42,O,2.811797771390482,2.7441263725169094,-0.06767139887357265,0.06768004293446338,-0.06767160692305008,toward,0.003383653727577025,-0.06596527542386911,0.014755390110591793
vacancy_O1,77,78,O,2.856434696592228,2.8117787807744388,-0.04465591581778927,0.046527598536958134,-0.04468578987867511,toward,-0.033037071299277965,0.0008054881933510633,-0.032752412649347605
vacancy_O1,73,74,O,2.856436411125609,2.809534899913488,-0.04690151121212116,0.04897873840094665,-0.046936373717826434,toward,0.013342224861726277,0.0007452531274930098,-0.04712055229794597
vacancy_O1,49,50,O,2.894537459007019,2.8485277992862117,-0.046009659720807505,0.046298274681077806,-0.04601426174292558,toward,0.017406492826210623,-0.02349618875163257,-0.03589531111556583
vacancy_O1,53,54,O,2.8945374684019773,2.8495078627268886,-0.045029605675088735,0.04537576520806749,-0.04503501149230569,toward,-0.03209727743385256,-0.02251102975395275,-0.022846846368123144
vacancy_O1,70,71,O,2.9591834985424406,2.931608067279255,-0.027575431263185735,0.034744174729405136,-0.027650917164700882,toward,0.016525326876677928,0.02933273266570803,-0.008582659471777134
vacancy_O1,66,67,O,2.959184921510325,2.9313658547626136,-0.027819066747711396,0.03433723942256989,-0.0278875223439647,toward,-0.018085820691763704,0.029169158110373464,0.0010532408083117352
vacancy_O1,56,57,O,2.9681324285791124,2.949358195501663,-0.01877423307744941,0.02718739901992052,-0.018839372158527035,toward,-0.0007561046726452154,0.010545740799532495,0.02504736158124155
vacancy_O1,60,61,O,2.9681324616171545,2.9491026349557594,-0.019029826661395077,0.02750911753928725,-0.01909630234099138,toward,0.012440343348800906,0.010575645288035493,0.022139221573847602
vacancy_O1,43,44,O,3.008053725936761,2.9787314018994797,-0.029322324037281078,0.029335148659770768,-0.029322449078255753,toward,-0.0023085050017413707,0.02805510996326624,-0.008254244756295107
vacancy_O1,36,37,O,3.04756735,3.047398823336317,-0.0001685266636828331,0.04472253028735692,-0.0004966697503438866,toward,-0.010425072122592676,-0.01719529254588858,-0.039946770843255985
vacancy_O1,11,11,Ga,3.4161358078546713,3.4108493465727223,-0.005286461281948984,0.021299100207714267,-0.005348769255155576,toward,-0.004198104851727645,0.01179237078592316,-0.017232747214517504
vacancy_O1,22,22,Ga,3.4256070204024596,3.4366264396376396,0.011019419235180017,0.01639203297817301,0.0109979236076891,away,-0.005183579683044794,0.01511668661970429,-0.003648976907119295
vacancy_O1,18,18,Ga,3.425609658281727,3.4366218199243534,0.011012161642626417,0.016011241874480827,0.010992443668921893,away,0.0023767600997680787,0.014846984866626322,-0.005502537429354542
vacancy_O1,9,9,Ga,3.4810126245042325,3.4899683479601205,0.00895572345588791,0.016996143026022377,0.008925751732475314,away,-0.003605758699593759,-0.004176486278152417,-0.016075582239213532
vacancy_O1,24,24,Ga,3.5142968824202465,3.5244989271917966,0.010202044771550067,0.01787274281729235,0.01017140518339198,away,-0.0030511522380334967,-0.01739069000530063,-0.0027729599659849493
vacancy_O1,20,20,Ga,3.5142996289441046,3.5247858885700896,0.010486259625984928,0.01807001966886526,0.010455447801048774,away,0.0013160294976269059,-0.017629336074985985,-0.00374168234217591
vacancy_O1,6,6,Ga,3.613471270132843,3.5760772296453847,-0.0373940404874582,0.07049239530579383,-0.03788814480779318,toward,-0.016787561830127348,-0.008931308721125485,-0.0678792110168931
vacancy_O1,57,58,O,3.9389592491799843,3.9582290551656683,0.019269805985683952,0.019646788198127287,0.019267943709021434,away,0.004397340987126018,0.0012828070111765102,0.0191053417901144
vacancy_O1,72,73,O,3.9611839565645415,3.9339588893467674,-0.027225067217774068,0.032773995936202054,-0.027267091335850605,toward,0.006839330891172024,-0.012031901608112336,0.029708445033019698
vacancy_O1,45,46,O,4.146549539805732,4.162737156295722,0.01618761648999012,0.028356616908209877,0.016122253856594954,away,0.002214424550744744,0.026166914233792814,0.010699843263775606
vacancy_O1,47,48,O,4.28206200009544,4.285223573552834,0.0031615734573939847,0.008721488878089068,0.0031538588538316146,away,0.0019641582607568065,-0.0022726902866297364,0.008187876979925318
vacancy_O1,1,1,Ga,4.5048894458060795,4.473167200079201,-0.03172224572687821,0.036293410828032543,-0.03175675387622736,toward,0.007108085343314319,-0.016506112967156122,0.0315314926224559
vacancy_O1,5,5,Ga,4.504889468728346,4.473144491500218,-0.03174497722812841,0.036601743816661335,-0.031781819871385564,toward,0.007586615760072633,-0.016426879076970165,0.0318164824504552
vacancy_O1,15,15,Ga,4.577952543752583,4.529604067469278,-0.048348476283305075,0.07257362192915334,-0.04866841793986439,toward,-0.001800937554735195,0.07209294218861541,-0.008142168656358514
vacancy_O1,13,13,Ga,4.62656630327798,4.603529098209648,-0.023037205068331623,0.03174562285557244,-0.023088762932401308,toward,0.004417199267013555,-0.02665802470426043,0.01666201188304638
vacancy_O1,10,10,Ga,4.629752901237397,4.633467998288984,0.00371509705158779,0.006729024947363862,0.0037116975363967013,away,-0.0034272332185635835,0.005783802714802873,0.00028543889724149573
vacancy_O1,14,14,Ga,4.629752928295366,4.63355672532149,0.0038037970261246556,0.007266611851376341,0.003799656980578667,away,0.0033668647329754844,0.006211118045567724,-0.0016999653797745388
vacancy_O1,48,49,O,4.721365702467742,4.725191829747313,0.00382612727957099,0.019991609855196265,0.003785352508146151,away,-0.0020802116761101967,-0.016865950262348484,-0.01052981033698814
